segment_id,transport_type,transport_name,start_station_name,end_station_name,departure_hour,day_of_week,avg_duration_seconds,sample_count,is_reliable
subway_1호선_서울역-시청_1,SUBWAY,1호선,서울역,시청,6,0,120,13,1
subway_1호선_서울역-시청_1,SUBWAY,1호선,서울역,시청,6,1,120,13,1
subway_1호선_서울역-시청_1,SUBWAY,1호선,서울역,시청,6,2,120,13,1
subway_1호선_서울역-시청_1,SUBWAY,1호선,서울역,시청,6,3,120,13,1
subway_1호선_서울역-시청_1,SUBWAY,1호선,서울역,시청,6,4,120,13,1
subway_1호선_시청-종각_1,SUBWAY,1호선,시청,종각,6,0,120,14,1
subway_1호선_시청-종각_1,SUBWAY,1호선,시청,종각,6,1,120,14,1
subway_1호선_시청-종각_1,SUBWAY,1호선,시청,종각,6,2,120,14,1
subway_1호선_시청-종각_1,SUBWAY,1호선,시청,종각,6,3,120,14,1
subway_1호선_시청-종각_1,SUBWAY,1호선,시청,종각,6,4,120,14,1
subway_1호선_종각-종로3가_1,SUBWAY,1호선,종각,종로3가,6,0,90,14,1
subway_1호선_종각-종로3가_1,SUBWAY,1호선,종각,종로3가,6,1,90,14,1
subway_1호선_종각-종로3가_1,SUBWAY,1호선,종각,종로3가,6,2,90,14,1
subway_1호선_종각-종로3가_1,SUBWAY,1호선,종각,종로3가,6,3,90,14,1
subway_1호선_종각-종로3가_1,SUBWAY,1호선,종각,종로3가,6,4,90,14,1
subway_1호선_종로3가-종로5가_1,SUBWAY,1호선,종로3가,종로5가,6,0,90,14,1
subway_1호선_종로3가-종로5가_1,SUBWAY,1호선,종로3가,종로5가,6,1,90,14,1
subway_1호선_종로3가-종로5가_1,SUBWAY,1호선,종로3가,종로5가,6,2,90,14,1
subway_1호선_종로3가-종로5가_1,SUBWAY,1호선,종로3가,종로5가,6,3,90,14,1
subway_1호선_종로3가-종로5가_1,SUBWAY,1호선,종로3가,종로5가,6,4,90,14,1
subway_1호선_종로5가-동대문_1,SUBWAY,1호선,종로5가,동대문,6,0,90,13,1
subway_1호선_종로5가-동대문_1,SUBWAY,1호선,종로5가,동대문,6,1,90,13,1
subway_1호선_종로5가-동대문_1,SUBWAY,1호선,종로5가,동대문,6,2,90,13,1
subway_1호선_종로5가-동대문_1,SUBWAY,1호선,종로5가,동대문,6,3,90,13,1
subway_1호선_종로5가-동대문_1,SUBWAY,1호선,종로5가,동대문,6,4,90,13,1
subway_1호선_동대문-동묘앞_1,SUBWAY,1호선,동대문,동묘앞,6,0,90,13,1
subway_1호선_동대문-동묘앞_1,SUBWAY,1호선,동대문,동묘앞,6,1,90,13,1
subway_1호선_동대문-동묘앞_1,SUBWAY,1호선,동대문,동묘앞,6,2,90,13,1
subway_1호선_동대문-동묘앞_1,SUBWAY,1호선,동대문,동묘앞,6,3,90,13,1
subway_1호선_동대문-동묘앞_1,SUBWAY,1호선,동대문,동묘앞,6,4,90,13,1
subway_1호선_동묘앞-신설동_1,SUBWAY,1호선,동묘앞,신설동,7,0,90,13,1
subway_1호선_동묘앞-신설동_1,SUBWAY,1호선,동묘앞,신설동,7,1,90,13,1
subway_1호선_동묘앞-신설동_1,SUBWAY,1호선,동묘앞,신설동,7,2,90,13,1
subway_1호선_동묘앞-신설동_1,SUBWAY,1호선,동묘앞,신설동,7,3,90,13,1
subway_1호선_동묘앞-신설동_1,SUBWAY,1호선,동묘앞,신설동,7,4,90,13,1
subway_1호선_신설동-제기동_1,SUBWAY,1호선,신설동,제기동,7,0,90,14,1
subway_1호선_신설동-제기동_1,SUBWAY,1호선,신설동,제기동,7,1,90,14,1
subway_1호선_신설동-제기동_1,SUBWAY,1호선,신설동,제기동,7,2,90,14,1
subway_1호선_신설동-제기동_1,SUBWAY,1호선,신설동,제기동,7,3,90,14,1
subway_1호선_신설동-제기동_1,SUBWAY,1호선,신설동,제기동,7,4,90,14,1
subway_1호선_제기동-청량리_1,SUBWAY,1호선,제기동,청량리,7,0,90,11,1
subway_1호선_제기동-청량리_1,SUBWAY,1호선,제기동,청량리,7,1,90,11,1
subway_1호선_제기동-청량리_1,SUBWAY,1호선,제기동,청량리,7,2,90,11,1
subway_1호선_제기동-청량리_1,SUBWAY,1호선,제기동,청량리,7,3,90,11,1
subway_1호선_제기동-청량리_1,SUBWAY,1호선,제기동,청량리,7,4,90,11,1
subway_1호선_서울역-시청_1,SUBWAY,1호선,서울역,시청,14,0,120,12,1
subway_1호선_서울역-시청_1,SUBWAY,1호선,서울역,시청,14,1,120,12,1
subway_1호선_서울역-시청_1,SUBWAY,1호선,서울역,시청,14,2,120,12,1
subway_1호선_서울역-시청_1,SUBWAY,1호선,서울역,시청,14,3,120,12,1
subway_1호선_서울역-시청_1,SUBWAY,1호선,서울역,시청,14,4,120,12,1
subway_1호선_시청-종각_1,SUBWAY,1호선,시청,종각,14,0,120,12,1
subway_1호선_시청-종각_1,SUBWAY,1호선,시청,종각,14,1,120,12,1
subway_1호선_시청-종각_1,SUBWAY,1호선,시청,종각,14,2,120,12,1
subway_1호선_시청-종각_1,SUBWAY,1호선,시청,종각,14,3,120,12,1
subway_1호선_시청-종각_1,SUBWAY,1호선,시청,종각,14,4,120,12,1
subway_1호선_종각-종로3가_1,SUBWAY,1호선,종각,종로3가,14,0,90,12,1
subway_1호선_종각-종로3가_1,SUBWAY,1호선,종각,종로3가,14,1,90,12,1
subway_1호선_종각-종로3가_1,SUBWAY,1호선,종각,종로3가,14,2,90,12,1
subway_1호선_종각-종로3가_1,SUBWAY,1호선,종각,종로3가,14,3,90,12,1
subway_1호선_종각-종로3가_1,SUBWAY,1호선,종각,종로3가,14,4,90,12,1
subway_1호선_종로3가-종로5가_1,SUBWAY,1호선,종로3가,종로5가,14,0,90,13,1
subway_1호선_종로3가-종로5가_1,SUBWAY,1호선,종로3가,종로5가,14,1,90,13,1
subway_1호선_종로3가-종로5가_1,SUBWAY,1호선,종로3가,종로5가,14,2,90,13,1
subway_1호선_종로3가-종로5가_1,SUBWAY,1호선,종로3가,종로5가,14,3,90,13,1
subway_1호선_종로3가-종로5가_1,SUBWAY,1호선,종로3가,종로5가,14,4,90,13,1
subway_1호선_종로5가-동대문_1,SUBWAY,1호선,종로5가,동대문,14,0,90,12,1
subway_1호선_종로5가-동대문_1,SUBWAY,1호선,종로5가,동대문,14,1,90,12,1
subway_1호선_종로5가-동대문_1,SUBWAY,1호선,종로5가,동대문,14,2,90,12,1
subway_1호선_종로5가-동대문_1,SUBWAY,1호선,종로5가,동대문,14,3,90,12,1
subway_1호선_종로5가-동대문_1,SUBWAY,1호선,종로5가,동대문,14,4,90,12,1
subway_1호선_동대문-동묘앞_1,SUBWAY,1호선,동대문,동묘앞,14,0,90,13,1
subway_1호선_동대문-동묘앞_1,SUBWAY,1호선,동대문,동묘앞,14,1,90,13,1
subway_1호선_동대문-동묘앞_1,SUBWAY,1호선,동대문,동묘앞,14,2,90,13,1
subway_1호선_동대문-동묘앞_1,SUBWAY,1호선,동대문,동묘앞,14,3,90,13,1
subway_1호선_동대문-동묘앞_1,SUBWAY,1호선,동대문,동묘앞,14,4,90,13,1
subway_1호선_동묘앞-신설동_1,SUBWAY,1호선,동묘앞,신설동,14,0,90,12,1
subway_1호선_동묘앞-신설동_1,SUBWAY,1호선,동묘앞,신설동,14,1,90,12,1
subway_1호선_동묘앞-신설동_1,SUBWAY,1호선,동묘앞,신설동,14,2,90,12,1
subway_1호선_동묘앞-신설동_1,SUBWAY,1호선,동묘앞,신설동,14,3,90,12,1
subway_1호선_동묘앞-신설동_1,SUBWAY,1호선,동묘앞,신설동,14,4,90,12,1
subway_1호선_신설동-제기동_1,SUBWAY,1호선,신설동,제기동,14,0,90,13,1
subway_1호선_신설동-제기동_1,SUBWAY,1호선,신설동,제기동,14,1,90,13,1
subway_1호선_신설동-제기동_1,SUBWAY,1호선,신설동,제기동,14,2,90,13,1
subway_1호선_신설동-제기동_1,SUBWAY,1호선,신설동,제기동,14,3,90,13,1
subway_1호선_신설동-제기동_1,SUBWAY,1호선,신설동,제기동,14,4,90,13,1
subway_1호선_제기동-청량리_1,SUBWAY,1호선,제기동,청량리,14,0,90,10,1
subway_1호선_제기동-청량리_1,SUBWAY,1호선,제기동,청량리,14,1,90,10,1
subway_1호선_제기동-청량리_1,SUBWAY,1호선,제기동,청량리,14,2,90,10,1
subway_1호선_제기동-청량리_1,SUBWAY,1호선,제기동,청량리,14,3,90,10,1
subway_1호선_제기동-청량리_1,SUBWAY,1호선,제기동,청량리,14,4,90,10,1
subway_1호선_서울역-시청_1,SUBWAY,1호선,서울역,시청,15,0,115,13,1
subway_1호선_서울역-시청_1,SUBWAY,1호선,서울역,시청,15,1,115,13,1
subway_1호선_서울역-시청_1,SUBWAY,1호선,서울역,시청,15,2,115,13,1
subway_1호선_서울역-시청_1,SUBWAY,1호선,서울역,시청,15,3,115,13,1
subway_1호선_서울역-시청_1,SUBWAY,1호선,서울역,시청,15,4,115,13,1
subway_1호선_시청-종각_1,SUBWAY,1호선,시청,종각,15,0,120,13,1
subway_1호선_시청-종각_1,SUBWAY,1호선,시청,종각,15,1,120,13,1
subway_1호선_시청-종각_1,SUBWAY,1호선,시청,종각,15,2,120,13,1
subway_1호선_시청-종각_1,SUBWAY,1호선,시청,종각,15,3,120,13,1
subway_1호선_시청-종각_1,SUBWAY,1호선,시청,종각,15,4,120,13,1
subway_1호선_종각-종로3가_1,SUBWAY,1호선,종각,종로3가,15,0,90,13,1
subway_1호선_종각-종로3가_1,SUBWAY,1호선,종각,종로3가,15,1,90,13,1
subway_1호선_종각-종로3가_1,SUBWAY,1호선,종각,종로3가,15,2,90,13,1
subway_1호선_종각-종로3가_1,SUBWAY,1호선,종각,종로3가,15,3,90,13,1
subway_1호선_종각-종로3가_1,SUBWAY,1호선,종각,종로3가,15,4,90,13,1
subway_1호선_종로3가-종로5가_1,SUBWAY,1호선,종로3가,종로5가,15,0,90,12,1
subway_1호선_종로3가-종로5가_1,SUBWAY,1호선,종로3가,종로5가,15,1,90,12,1
subway_1호선_종로3가-종로5가_1,SUBWAY,1호선,종로3가,종로5가,15,2,90,12,1
subway_1호선_종로3가-종로5가_1,SUBWAY,1호선,종로3가,종로5가,15,3,90,12,1
subway_1호선_종로3가-종로5가_1,SUBWAY,1호선,종로3가,종로5가,15,4,90,12,1
subway_1호선_종로5가-동대문_1,SUBWAY,1호선,종로5가,동대문,15,0,90,12,1
subway_1호선_종로5가-동대문_1,SUBWAY,1호선,종로5가,동대문,15,1,90,12,1
subway_1호선_종로5가-동대문_1,SUBWAY,1호선,종로5가,동대문,15,2,90,12,1
subway_1호선_종로5가-동대문_1,SUBWAY,1호선,종로5가,동대문,15,3,90,12,1
subway_1호선_종로5가-동대문_1,SUBWAY,1호선,종로5가,동대문,15,4,90,12,1
subway_1호선_동대문-동묘앞_1,SUBWAY,1호선,동대문,동묘앞,15,0,90,11,1
subway_1호선_동대문-동묘앞_1,SUBWAY,1호선,동대문,동묘앞,15,1,90,11,1
subway_1호선_동대문-동묘앞_1,SUBWAY,1호선,동대문,동묘앞,15,2,90,11,1
subway_1호선_동대문-동묘앞_1,SUBWAY,1호선,동대문,동묘앞,15,3,90,11,1
subway_1호선_동대문-동묘앞_1,SUBWAY,1호선,동대문,동묘앞,15,4,90,11,1
subway_1호선_동묘앞-신설동_1,SUBWAY,1호선,동묘앞,신설동,15,0,90,12,1
subway_1호선_동묘앞-신설동_1,SUBWAY,1호선,동묘앞,신설동,15,1,90,12,1
subway_1호선_동묘앞-신설동_1,SUBWAY,1호선,동묘앞,신설동,15,2,90,12,1
subway_1호선_동묘앞-신설동_1,SUBWAY,1호선,동묘앞,신설동,15,3,90,12,1
subway_1호선_동묘앞-신설동_1,SUBWAY,1호선,동묘앞,신설동,15,4,90,12,1
subway_1호선_신설동-제기동_1,SUBWAY,1호선,신설동,제기동,15,0,90,12,1
subway_1호선_신설동-제기동_1,SUBWAY,1호선,신설동,제기동,15,1,90,12,1
subway_1호선_신설동-제기동_1,SUBWAY,1호선,신설동,제기동,15,2,90,12,1
subway_1호선_신설동-제기동_1,SUBWAY,1호선,신설동,제기동,15,3,90,12,1
subway_1호선_신설동-제기동_1,SUBWAY,1호선,신설동,제기동,15,4,90,12,1
subway_1호선_제기동-청량리_1,SUBWAY,1호선,제기동,청량리,15,0,90,9,1
subway_1호선_제기동-청량리_1,SUBWAY,1호선,제기동,청량리,15,1,90,9,1
subway_1호선_제기동-청량리_1,SUBWAY,1호선,제기동,청량리,15,2,90,9,1
subway_1호선_제기동-청량리_1,SUBWAY,1호선,제기동,청량리,15,3,90,9,1
subway_1호선_제기동-청량리_1,SUBWAY,1호선,제기동,청량리,15,4,90,9,1
subway_1호선_종로5가-동대문_1,SUBWAY,1호선,종로5가,동대문,16,0,86,15,1
subway_1호선_종로5가-동대문_1,SUBWAY,1호선,종로5가,동대문,16,1,86,15,1
subway_1호선_종로5가-동대문_1,SUBWAY,1호선,종로5가,동대문,16,2,86,15,1
subway_1호선_종로5가-동대문_1,SUBWAY,1호선,종로5가,동대문,16,3,86,15,1
subway_1호선_종로5가-동대문_1,SUBWAY,1호선,종로5가,동대문,16,4,86,15,1
subway_1호선_동대문-동묘앞_1,SUBWAY,1호선,동대문,동묘앞,16,0,85,14,1
subway_1호선_동대문-동묘앞_1,SUBWAY,1호선,동대문,동묘앞,16,1,85,14,1
subway_1호선_동대문-동묘앞_1,SUBWAY,1호선,동대문,동묘앞,16,2,85,14,1
subway_1호선_동대문-동묘앞_1,SUBWAY,1호선,동대문,동묘앞,16,3,85,14,1
subway_1호선_동대문-동묘앞_1,SUBWAY,1호선,동대문,동묘앞,16,4,85,14,1
subway_1호선_동묘앞-신설동_1,SUBWAY,1호선,동묘앞,신설동,16,0,85,14,1
subway_1호선_동묘앞-신설동_1,SUBWAY,1호선,동묘앞,신설동,16,1,85,14,1
subway_1호선_동묘앞-신설동_1,SUBWAY,1호선,동묘앞,신설동,16,2,85,14,1
