MSG_CN,RCPTN_RGN_NM,CRT_DT,REG_YMD,EMRG_STEP_NM,SN,DST_SE_NM,MDFCN_YMD
"[안성시] 선별진료소 일정 변경 안내 ▲시간: 평일 9시~18시, 토요일 9시~13시(일요일 미운영) ▲장소: 안성시보건소 주차장 ▲기간: 9.2.(토)~",경기도 안성시 ,2025-09-01 10:01,2025-09-01,안전안내,204763,전염병,2025-09-01
"[경기남부경찰청] 수원시에서 실종된 유재훈씨(남,64세)를 찾습니다 - 165cm,40kg,검정반팔,검정바지,검정모자 
vo.la/yjYXT / ☎182","경기도 수원시 장안구 ,경기도 수원시 권선구 ,경기도 수원시 팔달구 ,경기도 수원시 영통구 ",2025-09-01 10:28,2025-09-01,안전안내,204765,기타,2025-09-01
"[서울경찰청]마포구에서 실종된 김영출씨(남,68세)를 찾습니다-170cm,65kg,파란상의,회색조끼,검정바지,흰신발,흰비닐봉지
vo.la/VT6nb/ ☎182",서울특별시 마포구 ,2025-09-01 10:49,2025-09-01,안전안내,204767,기타,2025-09-01
"[서울경찰청] 서대문구에서 배회중인 김영출씨(남,68세)를 찾습니다-170cm,파란상의,회색조끼,검정바지,흰신발,흰비닐봉지 vo.la/VT6nb / ☎182",서울특별시 서대문구 ,2025-09-01 10:54,2025-09-01,안전안내,204768,기타,2025-09-01
"[서울경찰청]강북구에서 실종된 정동월씨(여,81세)를 찾습니다-160cm,62kg,파란색꽃무늬티,검정바지,검정슬리퍼,빨강모자 
vo.la/hYYMo/ ☎182",서울특별시 강북구 ,2025-09-01 15:07,2025-09-01,안전안내,204776,기타,2025-09-01
"[경기북부경찰청] 남양주시에서 실종된 김봉성씨(남,83세)를 찾습니다 - 160cm,45kg,파란점퍼,검정바지,검정신발 
vo.la/gtAPb / ☎182",경기도 남양주시 ,2025-09-01 17:20,2025-09-01,안전안내,204781,기타,2025-09-01
"[경기북부경찰청] 구리시에서 배회중인 김봉성씨(남,83세)를 찾습니다 - 160cm,45kg,파란점퍼,검정바지,검정신발 
vo.la/gtAPb / ☎182",경기도 구리시 ,2025-09-01 17:24,2025-09-01,안전안내,204782,기타,2025-09-01
"[경기남부경찰청] 양평군에서 배회중인 김봉성씨(남,83세)를 찾습니다 - 160cm,45kg,파란점퍼,검정바지,검정신발 
vo.la/gtAPb / ☎182",경기도 양평군 ,2025-09-01 17:27,2025-09-01,안전안내,204783,기타,2025-09-01
"[서울경찰청] 성북구에서 실종된 임현희씨(여,44세)를 찾습니다-162cm,47kg,갈색묶음머리,검정긴팔,검정치마,거동불편 
vo.la/yXMBJ/ ☎182",서울특별시 성북구 ,2025-09-01 18:27,2025-09-01,안전안내,204788,기타,2025-09-01
"[경기남부경찰청]성남시에서 실종된 조래삼씨(남,75세)를 찾습니다-165cm,60kg,파란긴팔,검정바지,흰색운동화,회색모자 
vo.la/aR2za/ ☎182","경기도 성남시 수정구 ,경기도 성남시 중원구 ,경기도 성남시 분당구 ",2025-09-01 18:48,2025-09-01,안전안내,204792,기타,2025-09-01
